"","richness","Dispersal","Day","Salinity_Measured","lower","upper"
"1822",4.30475737246302,2,36,7.55,3.79173019209964,4.83445072469861
"1823",4.45626887880903,3,45,7.55,3.80665263214402,5.13862421486014
"1824",4.24375678699265,2,45,7.55,3.63980854523857,4.86094573354606
"1825",4.7790304446388,3,0,7.6,4.07821848464596,5.37702205109335
"1826",4.5526383736972,2,0,7.6,3.9678095860061,5.29695095392353
"1827",4.71161926586715,3,9,7.6,4.0835119385412,5.20954656037441
"1828",4.48842059503955,2,9,7.6,3.9641916960763,5.05407835767111
"1829",4.64515896344501,3,18,7.6,4.09661574988233,5.10725308144899
"1830",4.42510864784867,2,18,7.6,3.94014714560248,4.89831300240432
"1831",4.57963612467365,3,27,7.6,4.02456419831016,5.08854419056737
"1832",4.36268975481175,2,27,7.6,3.88869886651708,4.81784455467239
"1833",4.51503752604873,3,36,7.6,3.94300128149838,5.08293839532893
"1834",4.30115131884787,2,36,7.6,3.78556476307385,4.83203249014857
"1835",4.45135013059164,3,45,7.6,3.79998568490218,5.13686518528788
"1836",4.24048092056571,2,45,7.6,3.6325871706249,4.86392987632913
"1837",4.77218471940423,3,0,7.65,4.0704810873272,5.36934370235259
"1838",4.54762726575748,2,0,7.65,3.96173152300148,5.29431715474398
"1839",4.70517977559871,3,9,7.65,4.07580270280792,5.19945838343759
"1840",4.48377527189992,2,9,7.65,3.95846866531061,5.0488915960155
"1841",4.63911562993038,3,18,7.65,4.09274258255562,5.09983317051693
"1842",4.42081980646946,2,18,7.65,3.93554625234937,4.8954101083184
"1843",4.57397907290926,3,27,7.65,4.01613079236935,5.08084566291296
"1844",4.35874828155502,2,27,7.65,3.88511701143551,4.81396974134069
"1845",4.50975708051619,3,36,7.65,3.93925458501974,5.07913675274632
"1846",4.29754828598895,2,36,7.65,3.7794093853026,4.82959938618699
"1847",4.44643681159871,3,45,7.65,3.79340456418681,5.13510675835978
"1848",4.23720758286542,2,45,7.65,3.62538012771825,4.86691606827654
"1849",4.76534880033316,3,0,7.7,4.06279291013128,5.3616682022987
"1850",4.54262167356506,2,0,7.7,3.95566876778452,5.29168466518335
"1851",4.69874908634591,3,9,7.7,4.07113047340256,5.18933264904137
"1852",4.47913475647085,2,9,7.7,3.95251047443007,5.04371021450996
"1853",4.63308015876885,3,18,7.7,4.08647458705111,5.09242415090178
"1854",4.41653512186059,2,18,7.7,3.93098414696642,4.89446333995308
"1855",4.56832900908754,3,27,7.7,4.00771507302975,5.07315885658965
"1856",4.35481036922338,2,27,7.7,3.87961317380236,4.80990220698072
"1857",4.50448281059235,3,36,7.7,3.93551145058725,5.07530500160418
"1858",4.29394827135581,2,36,7.7,3.7732640423441,4.82702269632739
"1859",4.44152891583758,3,45,7.7,3.78267615207398,5.13334893386918
"1860",4.23393677193978,2,45,7.7,3.6181873880676,4.8687738361344
"1861",4.75852267337877,3,0,7.75,4.05618051614029,5.35021370546894
